code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,module_presentation_length,days_studied,activities_completed,total_clicks,assessments_completed,average_score
0,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,-159.0,268,26,121,628,3,81.0
0,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,-53.0,268,46,268,904,2,69.0
0,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-52.0,268,69,377,1257,3,72.33333333333333
0,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-176.0,268,40,207,747,2,49.5
0,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-110.0,268,72,372,1287,3,74.0
0,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,-67.0,268,43,184,801,3,65.66666666666667
0,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-29.0,268,54,316,805,3,72.0
0,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,-33.0,268,63,307,1041,3,71.66666666666667
0,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-103.0,268,55,245,919,3,74.0
0,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-47.0,268,62,279,1051,3,71.66666666666667
0,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-59.0,268,38,221,833,3,72.0
0,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-68.0,268,81,562,1969,3,77.66666666666667
0,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-67.0,268,82,389,1609,3,67.66666666666667
0,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-95.0,268,32,151,665,3,59.666666666666664
0,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,-50.0,268,10,50,84,3,48.333333333333336
0,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-107.0,268,62,386,1788,3,66.66666666666667
0,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-27.0,268,49,178,473,3,73.66666666666667
0,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,-31.0,268,61,280,871,2,74.5
0,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-107.0,268,51,240,1847,3,60.0
0,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-62.0,268,32,147,456,3,67.33333333333333
0,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-103.0,268,70,436,2396,3,74.33333333333333
0,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-107.0,268,92,392,1091,3,84.0
0,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-100.0,268,29,175,718,3,76.33333333333333
0,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,5.0,268,28,137,443,3,60.0
0,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-107.0,268,20,112,401,3,54.666666666666664
0,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-110.0,268,38,188,487,3,65.0
0,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-43.0,268,77,349,1588,2,80.0
0,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-26.0,268,101,550,2126,3,78.33333333333333
0,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,-68.0,268,59,262,776,2,76.5
0,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,-68.0,268,48,230,957,2,71.0
0,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-32.0,268,58,213,866,3,73.66666666666667
0,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,-99.0,268,14,78,203,3,67.0
0,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-82.0,268,70,372,1349,3,73.0
0,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,-31.0,268,52,277,779,3,68.66666666666667
0,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,-197.0,268,78,291,980,2,83.5
0,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,-75.0,268,12,62,252,3,67.66666666666667
0,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-96.0,268,64,238,1445,3,85.0
0,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,-32.0,268,24,109,287,2,61.5
0,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-195.0,268,104,781,2983,3,78.66666666666667
0,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,-61.0,268,43,317,1048,3,73.66666666666667
0,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,-110.0,268,9,44,143,1,45.0
0,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-37.0,268,41,266,931,3,71.66666666666667
0,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-67.0,268,92,764,2647,3,63.333333333333336
0,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,-36.0,268,21,86,276,2,56.0
0,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,-132.0,268,22,144,457,3,55.666666666666664
0,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,-92.0,268,50,165,490,2,74.5
0,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-174.0,268,84,446,1497,2,69.0
0,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,-44.0,268,12,38,66,3,49.0
0,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,-16.0,268,46,239,910,3,69.66666666666667
0,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-54.0,268,91,436,1983,3,80.0
0,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-64.0,268,36,204,789,2,80.0
0,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-52.0,268,47,193,789,2,80.0
0,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,-46.0,268,66,320,1185,2,66.5
0,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-64.0,268,22,103,223,3,72.66666666666667
0,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-117.0,268,52,274,850,2,59.0
0,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-32.0,268,21,160,409,3,72.33333333333333
0,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-162.0,268,116,816,3283,3,79.66666666666667
0,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,-92.0,268,62,286,1486,3,75.66666666666667
0,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,-57.0,268,10,34,111,3,40.333333333333336
0,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,-64.0,268,80,414,1089,3,54.666666666666664
0,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-128.0,268,63,309,1176,3,53.666666666666664
0,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,-32.0,268,26,189,476,3,49.333333333333336
0,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,-74.0,268,83,298,847,3,64.0
0,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,-12.0,268,15,99,427,1,74.0
0,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,-109.0,268,49,331,1403,2,83.0
0,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,-136.0,268,119,988,4712,3,88.66666666666667
0,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-180.0,268,38,184,782,3,81.33333333333333
0,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-62.0,268,92,407,1454,3,69.66666666666667
0,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,-45.0,268,35,181,1040,1,50.0
0,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-54.0,268,46,179,355,3,62.0
0,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,-73.0,268,40,277,1336,2,69.0
0,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-68.0,268,67,357,1122,3,73.66666666666667
0,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,-51.0,268,16,84,283,2,65.0
0,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,-169.0,268,93,485,1805,3,83.66666666666667
0,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-31.0,268,19,72,137,3,67.66666666666667
0,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-108.0,268,23,102,272,2,58.0
0,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-165.0,268,28,112,424,3,67.33333333333333
0,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-58.0,268,55,162,508,3,77.33333333333333
0,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,-29.0,268,50,267,1221,3,68.33333333333333
0,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,2.0,268,19,85,250,3,84.0
0,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-151.0,268,81,343,949,3,74.66666666666667
0,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,-45.0,268,16,64,173,3,81.0
0,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-47.0,268,23,108,270,3,61.333333333333336
0,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-50.0,268,77,344,1246,3,77.0
0,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,-31.0,268,51,246,746,3,56.0
0,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,-36.0,268,26,141,383,3,72.66666666666667
0,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-16.0,268,34,188,673,3,58.0
0,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,-198.0,268,101,425,1280,3,76.66666666666667
0,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,-103.0,268,93,532,1898,3,81.0
0,2013J,256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass,-117.0,268,51,173,587,2,73.0
0,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-68.0,268,34,186,474,3,59.666666666666664
0,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-172.0,268,112,709,2404,3,66.0
0,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,-186.0,268,35,102,358,2,57.5
0,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-145.0,268,38,199,635,3,69.66666666666667
0,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-191.0,268,69,470,1700,3,78.66666666666667
0,2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail,-33.0,268,54,355,1627,3,75.0
0,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,-17.0,268,11,41,171,2,43.0
