code_module,code_presentation,id_student,gender,highest_education,age_band,num_of_prev_attempts,disability,final_result,date_registration,module_presentation_length,avg_daily_activities,total_days_studied,mean_clicks_per_day,pct_days_studied
AAA,2013J,11391,M,HE Qualification,55<=,0,N,Pass,-159.0,268,4.695652173913044,23,25.52173913043478,0.25555555555555554
AAA,2013J,28400,F,HE Qualification,35-55,0,N,Pass,-53.0,268,6.388888888888889,36,22.805555555555557,0.4
AAA,2013J,31604,F,A Level or Equivalent,35-55,0,N,Pass,-52.0,268,5.803921568627451,51,19.45098039215686,0.5666666666666667
AAA,2013J,32885,F,Lower Than A Level,0-35,0,N,Pass,-176.0,268,5.4,35,19.542857142857144,0.3888888888888889
AAA,2013J,38053,M,A Level or Equivalent,35-55,0,N,Pass,-110.0,268,5.206896551724138,58,18.275862068965516,0.6444444444444445
AAA,2013J,45462,M,HE Qualification,0-35,0,N,Pass,-67.0,268,4.470588235294118,34,21.352941176470587,0.37777777777777777
AAA,2013J,45642,F,A Level or Equivalent,0-35,0,N,Pass,-29.0,268,6.333333333333333,39,17.0,0.43333333333333335
AAA,2013J,52130,F,A Level or Equivalent,0-35,0,N,Pass,-33.0,268,4.836734693877551,49,15.714285714285714,0.5444444444444444
AAA,2013J,53025,M,Post Graduate Qualification,55<=,0,N,Pass,-179.0,268,6.6909090909090905,55,22.581818181818182,0.6111111111111112
AAA,2013J,57506,M,Lower Than A Level,35-55,0,N,Pass,-103.0,268,4.555555555555555,45,17.288888888888888,0.5
AAA,2013J,58873,F,A Level or Equivalent,0-35,0,N,Pass,-47.0,268,4.886363636363637,44,18.386363636363637,0.4888888888888889
AAA,2013J,59185,M,Lower Than A Level,35-55,0,N,Pass,-59.0,268,5.8125,32,22.65625,0.35555555555555557
AAA,2013J,62155,F,HE Qualification,0-35,0,N,Pass,-68.0,268,6.935483870967742,62,25.258064516129032,0.6888888888888889
AAA,2013J,63400,M,Lower Than A Level,35-55,0,N,Pass,-67.0,268,4.794117647058823,68,19.176470588235293,0.7555555555555555
AAA,2013J,65002,F,A Level or Equivalent,0-35,0,N,Withdrawn,-180.0,268,5.3,10,17.0,0.1111111111111111
AAA,2013J,70464,F,A Level or Equivalent,35-55,0,N,Pass,-95.0,268,5.04,25,22.04,0.2777777777777778
AAA,2013J,71361,M,HE Qualification,35-55,0,N,Pass,-130.0,268,6.933333333333334,60,25.6,0.6666666666666666
AAA,2013J,74372,M,A Level or Equivalent,35-55,0,N,Fail,-50.0,268,6.142857142857143,7,10.857142857142858,0.07777777777777778
AAA,2013J,75091,M,A Level or Equivalent,35-55,0,N,Pass,-107.0,268,6.115384615384615,52,28.96153846153846,0.5777777777777777
AAA,2013J,77367,M,A Level or Equivalent,0-35,0,N,Pass,-27.0,268,3.5348837209302326,43,9.30232558139535,0.4777777777777778
AAA,2013J,91265,M,HE Qualification,0-35,0,N,Pass,-31.0,268,4.88,50,15.5,0.5555555555555556
AAA,2013J,98094,M,Lower Than A Level,35-55,0,N,Pass,-107.0,268,4.931818181818182,44,38.20454545454545,0.4888888888888889
AAA,2013J,100893,M,A Level or Equivalent,0-35,0,N,Pass,-62.0,268,4.7407407407407405,27,14.37037037037037,0.3
AAA,2013J,101781,M,Lower Than A Level,35-55,0,N,Pass,-103.0,268,6.833333333333333,54,39.74074074074074,0.6
AAA,2013J,102806,M,A Level or Equivalent,0-35,0,N,Pass,-107.0,268,4.5,72,12.805555555555555,0.8
AAA,2013J,102952,M,HE Qualification,0-35,0,N,Pass,-100.0,268,6.722222222222222,18,27.22222222222222,0.2
AAA,2013J,104476,M,Post Graduate Qualification,35-55,0,N,Pass,-109.0,268,7.127272727272727,55,33.14545454545455,0.6111111111111112
AAA,2013J,106247,M,HE Qualification,35-55,0,N,Withdrawn,5.0,268,5.428571428571429,21,19.0,0.23333333333333334
AAA,2013J,106577,M,Lower Than A Level,0-35,0,N,Pass,-107.0,268,5.944444444444445,18,21.77777777777778,0.2
AAA,2013J,110175,M,HE Qualification,35-55,0,N,Pass,-110.0,268,5.0,35,13.371428571428572,0.3888888888888889
AAA,2013J,111717,F,HE Qualification,35-55,0,N,Pass,-43.0,268,4.56140350877193,57,21.280701754385966,0.6333333333333333
AAA,2013J,113295,M,Lower Than A Level,35-55,0,N,Pass,-26.0,268,5.8125,80,23.7375,0.8888888888888888
AAA,2013J,114017,F,Post Graduate Qualification,35-55,0,N,Pass,-29.0,268,5.761904761904762,21,23.047619047619047,0.23333333333333334
AAA,2013J,114999,M,HE Qualification,35-55,0,N,Pass,-68.0,268,4.7,50,14.58,0.5555555555555556
AAA,2013J,116541,M,HE Qualification,0-35,0,N,Pass,-68.0,268,4.972222222222222,36,22.0,0.4
AAA,2013J,116692,M,A Level or Equivalent,35-55,0,N,Pass,-32.0,268,4.0227272727272725,44,16.84090909090909,0.4888888888888889
AAA,2013J,118983,M,HE Qualification,0-35,0,N,Pass,-99.0,268,4.7272727272727275,11,11.545454545454545,0.12222222222222222
AAA,2013J,123044,M,A Level or Equivalent,35-55,0,N,Pass,-82.0,268,5.568627450980392,51,21.627450980392158,0.5666666666666667
AAA,2013J,127582,F,A Level or Equivalent,0-35,0,N,Pass,-31.0,268,5.605263157894737,38,14.81578947368421,0.4222222222222222
AAA,2013J,129955,M,A Level or Equivalent,0-35,0,N,Withdrawn,-197.0,268,3.8666666666666667,60,13.616666666666667,0.6666666666666666
AAA,2013J,132976,F,Lower Than A Level,35-55,0,N,Pass,-75.0,268,4.5,8,19.625,0.08888888888888889
AAA,2013J,134143,F,A Level or Equivalent,35-55,0,N,Distinction,-96.0,268,3.7222222222222223,54,23.12962962962963,0.6
AAA,2013J,135400,F,Lower Than A Level,35-55,0,Y,Withdrawn,-32.0,268,4.608695652173913,23,12.347826086956522,0.25555555555555554
AAA,2013J,137873,M,A Level or Equivalent,35-55,0,N,Pass,-195.0,268,7.8734177215189876,79,31.759493670886076,0.8777777777777778
AAA,2013J,141355,F,A Level or Equivalent,0-35,0,N,Pass,-61.0,268,7.548387096774194,31,26.225806451612904,0.34444444444444444
AAA,2013J,141377,M,A Level or Equivalent,0-35,0,N,Withdrawn,-110.0,268,5.428571428571429,7,19.142857142857142,0.07777777777777778
AAA,2013J,142326,F,A Level or Equivalent,35-55,0,N,Pass,-37.0,268,6.84375,32,25.3125,0.35555555555555557
AAA,2013J,144801,F,HE Qualification,35-55,0,N,Pass,-67.0,268,8.41891891891892,74,29.22972972972973,0.8222222222222222
AAA,2013J,145130,M,HE Qualification,0-35,0,N,Pass,-36.0,268,4.25,20,13.75,0.2222222222222222
AAA,2013J,146188,F,A Level or Equivalent,0-35,0,Y,Fail,-132.0,268,6.5625,16,16.6875,0.17777777777777778
AAA,2013J,147756,M,Lower Than A Level,0-35,0,N,Fail,-92.0,268,3.5365853658536586,41,10.853658536585366,0.45555555555555555
AAA,2013J,148993,F,A Level or Equivalent,35-55,0,Y,Withdrawn,-174.0,268,5.492753623188406,69,18.391304347826086,0.7666666666666667
AAA,2013J,151358,F,A Level or Equivalent,0-35,0,N,Pass,-44.0,268,3.5,6,6.666666666666667,0.06666666666666667
AAA,2013J,155550,M,A Level or Equivalent,35-55,0,N,Pass,-16.0,268,5.5,28,20.892857142857142,0.3111111111111111
AAA,2013J,155854,F,A Level or Equivalent,35-55,0,N,Pass,-54.0,268,4.8108108108108105,74,22.364864864864863,0.8222222222222222
AAA,2013J,155984,F,Lower Than A Level,0-35,0,N,Withdrawn,-64.0,268,6.0,33,23.545454545454547,0.36666666666666664
AAA,2013J,157568,F,A Level or Equivalent,0-35,0,N,Pass,-52.0,268,4.625,32,18.71875,0.35555555555555557
AAA,2013J,159954,M,A Level or Equivalent,35-55,0,N,Withdrawn,-46.0,268,4.833333333333333,54,16.574074074074073,0.6
AAA,2013J,164259,M,A Level or Equivalent,0-35,0,N,Pass,-64.0,268,4.153846153846154,13,9.384615384615385,0.14444444444444443
AAA,2013J,167906,F,A Level or Equivalent,35-55,0,N,Pass,-117.0,268,5.190476190476191,42,16.261904761904763,0.4666666666666667
AAA,2013J,168936,F,Lower Than A Level,35-55,0,N,Pass,-32.0,268,8.0625,16,21.625,0.17777777777777778
AAA,2013J,172112,M,HE Qualification,35-55,0,N,Pass,-50.0,268,5.146341463414634,41,12.365853658536585,0.45555555555555555
AAA,2013J,172797,F,A Level or Equivalent,35-55,0,N,Pass,-45.0,268,6.0588235294117645,17,18.41176470588235,0.18888888888888888
AAA,2013J,174782,M,HE Qualification,55<=,0,N,Pass,-162.0,268,7.431818181818182,88,30.829545454545453,0.9777777777777777
AAA,2013J,175392,M,HE Qualification,35-55,0,N,Pass,-195.0,268,7.512195121951219,82,28.341463414634145,0.9111111111111111
AAA,2013J,175932,M,HE Qualification,35-55,0,N,Pass,-92.0,268,4.875,56,26.196428571428573,0.6222222222222222
AAA,2013J,175991,F,A Level or Equivalent,0-35,0,N,Fail,-57.0,268,3.25,8,12.625,0.08888888888888889
AAA,2013J,180753,M,A Level or Equivalent,0-35,0,N,Pass,-64.0,268,5.515625,64,15.109375,0.7111111111111111
AAA,2013J,183096,F,A Level or Equivalent,0-35,0,N,Pass,-128.0,268,5.037037037037037,54,19.22222222222222,0.6
AAA,2013J,183947,M,A Level or Equivalent,0-35,0,N,Pass,-32.0,268,7.473684210526316,19,19.210526315789473,0.2111111111111111
AAA,2013J,184271,M,HE Qualification,35-55,0,N,Pass,-74.0,268,3.769230769230769,65,11.153846153846153,0.7222222222222222
AAA,2013J,185439,M,HE Qualification,0-35,0,N,Fail,-12.0,268,6.6,15,28.466666666666665,0.16666666666666666
AAA,2013J,186149,M,HE Qualification,35-55,0,N,Pass,-109.0,268,6.933333333333334,45,29.288888888888888,0.5
AAA,2013J,187100,M,A Level or Equivalent,35-55,0,N,Distinction,-136.0,268,8.75,92,43.858695652173914,1.0222222222222221
AAA,2013J,189879,M,A Level or Equivalent,0-35,0,N,Pass,-180.0,268,5.0625,32,22.4375,0.35555555555555557
AAA,2013J,192183,F,Lower Than A Level,0-35,0,N,Pass,-62.0,268,4.472972972972973,74,16.635135135135137,0.8222222222222222
AAA,2013J,195262,M,A Level or Equivalent,0-35,0,N,Withdrawn,-45.0,268,6.043478260869565,23,33.78260869565217,0.25555555555555554
AAA,2013J,200860,M,Lower Than A Level,35-55,0,N,Pass,-54.0,268,4.17948717948718,39,8.461538461538462,0.43333333333333335
AAA,2013J,202635,F,A Level or Equivalent,0-35,0,N,Withdrawn,-73.0,268,6.848484848484849,33,32.18181818181818,0.36666666666666664
AAA,2013J,205350,M,HE Qualification,35-55,0,N,Pass,-68.0,268,6.14,50,20.18,0.5555555555555556
AAA,2013J,205719,M,A Level or Equivalent,0-35,0,Y,Fail,-51.0,268,5.266666666666667,15,18.2,0.16666666666666666
AAA,2013J,227499,F,A Level or Equivalent,35-55,0,N,Distinction,-169.0,268,5.493150684931507,73,20.82191780821918,0.8111111111111111
AAA,2013J,227517,M,HE Qualification,0-35,0,N,Fail,-172.0,268,6.315789473684211,38,23.13157894736842,0.4222222222222222
AAA,2013J,228082,M,HE Qualification,0-35,0,N,Pass,-31.0,268,3.642857142857143,14,7.357142857142857,0.15555555555555556
AAA,2013J,228222,M,Lower Than A Level,0-35,0,N,Pass,-108.0,268,5.0588235294117645,17,13.117647058823529,0.18888888888888888
AAA,2013J,229179,M,A Level or Equivalent,0-35,0,N,Pass,-165.0,268,4.181818181818182,22,16.59090909090909,0.24444444444444444
AAA,2013J,229361,M,A Level or Equivalent,0-35,0,N,Pass,-58.0,268,2.9767441860465116,43,9.86046511627907,0.4777777777777778
AAA,2013J,231554,M,A Level or Equivalent,0-35,0,N,Pass,-29.0,268,5.428571428571429,42,25.071428571428573,0.4666666666666667
AAA,2013J,235507,M,A Level or Equivalent,0-35,0,N,Withdrawn,-79.0,268,3.380952380952381,21,9.047619047619047,0.23333333333333334
AAA,2013J,236284,M,Post Graduate Qualification,0-35,0,N,Pass,2.0,268,4.266666666666667,15,13.066666666666666,0.16666666666666666
AAA,2013J,238007,M,HE Qualification,55<=,0,N,Pass,-151.0,268,4.190476190476191,63,11.904761904761905,0.7
AAA,2013J,240712,M,HE Qualification,0-35,0,N,Pass,-45.0,268,4.2727272727272725,11,10.272727272727273,0.12222222222222222
AAA,2013J,240884,M,A Level or Equivalent,0-35,0,N,Pass,-47.0,268,5.466666666666667,15,15.066666666666666,0.16666666666666666
AAA,2013J,241649,M,HE Qualification,35-55,0,N,Pass,-50.0,268,4.578125,64,16.765625,0.7111111111111111
AAA,2013J,241729,F,HE Qualification,35-55,0,N,Fail,-31.0,268,4.9,40,15.05,0.4444444444444444
AAA,2013J,242793,M,HE Qualification,35-55,0,N,Pass,-36.0,268,5.470588235294118,17,14.294117647058824,0.18888888888888888
AAA,2013J,246834,M,A Level or Equivalent,35-55,0,N,Pass,-16.0,268,5.571428571428571,28,18.642857142857142,0.3111111111111111
AAA,2013J,248270,M,Lower Than A Level,0-35,0,N,Pass,-198.0,268,4.2682926829268295,82,14.097560975609756,0.9111111111111111
AAA,2013J,255548,M,Lower Than A Level,35-55,0,N,Pass,-103.0,268,6.0,74,22.635135135135137,0.8222222222222222
AAA,2013J,256815,M,HE Qualification,0-35,0,N,Pass,-117.0,268,3.7567567567567566,37,13.64864864864865,0.4111111111111111
AAA,2013J,258392,F,Lower Than A Level,0-35,0,N,Pass,-68.0,268,5.636363636363637,22,14.363636363636363,0.24444444444444444
AAA,2013J,258894,F,Lower Than A Level,35-55,0,N,Pass,-172.0,268,5.738095238095238,84,18.928571428571427,0.9333333333333333
AAA,2013J,260355,F,A Level or Equivalent,35-55,0,N,Withdrawn,-186.0,268,3.16,25,10.36,0.2777777777777778
AAA,2013J,262011,M,A Level or Equivalent,35-55,0,N,Pass,-145.0,268,5.392857142857143,28,17.535714285714285,0.3111111111111111
AAA,2013J,262934,F,A Level or Equivalent,35-55,0,N,Pass,-191.0,268,7.313725490196078,51,28.352941176470587,0.5666666666666667
AAA,2013J,268073,M,A Level or Equivalent,35-55,0,N,Fail,-33.0,268,7.023255813953488,43,33.81395348837209,0.4777777777777778
AAA,2013J,268733,M,A Level or Equivalent,0-35,0,N,Withdrawn,-17.0,268,4.285714285714286,7,20.142857142857142,0.07777777777777778
