,code_module,code_presentation,id_student,total_days_studied
0,AAA,2013J,11391,40
1,AAA,2013J,28400,80
2,AAA,2013J,30268,12
3,AAA,2013J,31604,123
4,AAA,2013J,32885,70
5,AAA,2013J,38053,143
6,AAA,2013J,45462,90
7,AAA,2013J,45642,105
8,AAA,2013J,52130,122
9,AAA,2013J,53025,142
10,AAA,2013J,57506,90
11,AAA,2013J,58873,120
12,AAA,2013J,59185,61
13,AAA,2013J,62155,148
14,AAA,2013J,63400,175
15,AAA,2013J,65002,11
16,AAA,2013J,70464,46
17,AAA,2013J,71361,135
18,AAA,2013J,74372,14
19,AAA,2013J,75091,122
20,AAA,2013J,77367,86
21,AAA,2013J,91265,125
22,AAA,2013J,94961,24
23,AAA,2013J,98094,91
24,AAA,2013J,100893,52
25,AAA,2013J,101781,144
26,AAA,2013J,102806,177
27,AAA,2013J,102952,58
28,AAA,2013J,104476,161
29,AAA,2013J,106247,33
30,AAA,2013J,106577,47
31,AAA,2013J,110175,70
32,AAA,2013J,111717,136
33,AAA,2013J,113295,195
34,AAA,2013J,114017,50
35,AAA,2013J,114999,120
36,AAA,2013J,116541,108
37,AAA,2013J,116692,98
38,AAA,2013J,118983,27
39,AAA,2013J,123044,127
40,AAA,2013J,127582,89
41,AAA,2013J,129955,83
42,AAA,2013J,132976,32
43,AAA,2013J,134143,138
44,AAA,2013J,135335,10
45,AAA,2013J,135400,24
46,AAA,2013J,137873,192
47,AAA,2013J,141355,92
48,AAA,2013J,141377,9
49,AAA,2013J,142326,95
50,AAA,2013J,144801,200
51,AAA,2013J,145130,35
52,AAA,2013J,146188,32
53,AAA,2013J,147756,74
54,AAA,2013J,147793,9
55,AAA,2013J,148993,106
56,AAA,2013J,151358,20
57,AAA,2013J,155550,81
58,AAA,2013J,155854,202
59,AAA,2013J,155984,44
60,AAA,2013J,157568,87
61,AAA,2013J,159954,66
62,AAA,2013J,164259,51
63,AAA,2013J,167906,99
64,AAA,2013J,168936,42
65,AAA,2013J,172112,135
66,AAA,2013J,172797,86
67,AAA,2013J,174782,249
68,AAA,2013J,175392,197
69,AAA,2013J,175932,97
70,AAA,2013J,175991,17
71,AAA,2013J,180753,157
72,AAA,2013J,181316,20
73,AAA,2013J,183096,116
74,AAA,2013J,183947,58
75,AAA,2013J,184271,147
76,AAA,2013J,185439,15
77,AAA,2013J,186149,109
78,AAA,2013J,187100,231
79,AAA,2013J,188278,49
80,AAA,2013J,189879,84
81,AAA,2013J,192183,176
82,AAA,2013J,195262,58
83,AAA,2013J,200860,81
84,AAA,2013J,202635,47
85,AAA,2013J,205350,126
86,AAA,2013J,205719,32
87,AAA,2013J,227499,162
88,AAA,2013J,227517,69
89,AAA,2013J,228082,37
90,AAA,2013J,228222,38
91,AAA,2013J,229179,50
92,AAA,2013J,229361,123
93,AAA,2013J,231554,86
94,AAA,2013J,235507,21
95,AAA,2013J,236284,41
