model,val_roc_auc,train_roc_auc,val_accuracy,train_accuracy,val_f1_score,train_f1_score,features,preprocessing,C,class_weight,dual,fit_intercept,intercept_scaling,l1_ratio,max_iter,multi_class,n_jobs,penalty,random_state,solver,tol,verbose,warm_start,ccp_alpha,criterion,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_impurity_split,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,presort,splitter,bootstrap,max_samples,n_estimators,oob_score,algorithm,leaf_size,metric,metric_params,n_neighbors,p,weights,break_ties,cache_size,coef0,decision_function_shape,degree,gamma,kernel,probability,shrinking,alpha,average,early_stopping,epsilon,eta0,learning_rate,loss,n_iter_no_change,power_t,shuffle,validation_fraction,base_estimator,objective,use_label_encoder,base_score,booster,colsample_bylevel,colsample_bynode,colsample_bytree,gpu_id,importance_type,interaction_constraints,max_delta_step,min_child_weight,missing,monotone_constraints,num_parallel_tree,reg_alpha,reg_lambda,scale_pos_weight,subsample,tree_method,validate_parameters,verbosity,eval_metric,class_prior,fit_prior,priors,var_smoothing,seed
XGBClassifier,0.9344487694759112,0.9999998938425494,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10937423148527929,,,,,,,binary:logistic,,,,,,0.6011694082627778,,,,,1.0,,,,,,2.0,0.8574053108878759,,,,logloss,,,,,
XGBClassifier,0.9343304835365718,0.9999990976616698,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09249330733829163,,,,,,,binary:logistic,,,,,,0.4988004767678652,,,,,1.0,,,,,,2.0,1.0,,,,logloss,,,,,
XGBClassifier,0.9339690704959782,1.0,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11063166585826097,,,,,,,binary:logistic,,,,,,0.4769961804633068,,,,,1.0,,,,,,2.0,1.0,,,,logloss,,,,,
XGBClassifier,0.9337704499058914,1.0,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12615320319145804,,,,,,,binary:logistic,,,,,,0.478364193437659,,,,,1.0,,,,,,2.0,1.0,,,,error,,,,,
XGBClassifier,0.9336450248779986,0.9999903662113574,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06893651017012832,,,,,,,binary:logistic,,,,,,0.4861161866654073,,,,,1.0,,,,,,2.0,1.0,,,,logloss,,,,,
XGBClassifier,0.9335740984313114,1.0,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09550887663160684,,,,,,,binary:logistic,,,,,,0.4831702035815649,,,,,1.0,,,,,,2.0,1.0,,,,error,,,,,
XGBClassifier,0.9333433121336904,0.999987208027202,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09295679358627659,,,,,,,binary:logitraw,,,,,,0.7790110695137515,,,,,1.0,,,,,,1.8798173644274845,0.7121638985474282,,,,logloss,,,,,
XGBClassifier,0.9332359338724008,0.9999985934137794,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08173934538377324,,,,,,,binary:logistic,,,,,,0.4696985628392529,,,,,1.0,,,,,,2.0,1.0,,,,error,,,,,
XGBClassifier,0.933139012119996,1.0,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10575451987158849,,,,,,,binary:logistic,,,,,,0.4771868205383248,,,,,1.0,,,,,,2.0,1.0,,,,logloss,,,,,
XGBClassifier,0.93260944567764,1.0,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13061999707451416,,,,,,,binary:logistic,,,,,,0.5706946418722875,,,,,1.0,,,,,,2.0,0.969673571711521,,,,logloss,,,,,
