code_module,code_presentation,id_student,total_days_studied
AAA,2013J,11391,23
AAA,2013J,28400,36
AAA,2013J,30268,12
AAA,2013J,31604,51
AAA,2013J,32885,35
AAA,2013J,38053,58
AAA,2013J,45462,34
AAA,2013J,45642,39
AAA,2013J,52130,49
AAA,2013J,53025,55
AAA,2013J,57506,45
AAA,2013J,58873,44
AAA,2013J,59185,32
AAA,2013J,62155,62
AAA,2013J,63400,68
AAA,2013J,65002,10
AAA,2013J,70464,25
AAA,2013J,71361,60
AAA,2013J,74372,7
AAA,2013J,75091,52
AAA,2013J,77367,43
AAA,2013J,91265,50
AAA,2013J,94961,24
AAA,2013J,98094,44
AAA,2013J,100893,27
AAA,2013J,101781,54
AAA,2013J,102806,72
AAA,2013J,102952,18
AAA,2013J,104476,55
AAA,2013J,106247,21
AAA,2013J,106577,18
AAA,2013J,110175,35
AAA,2013J,111717,57
AAA,2013J,113295,80
AAA,2013J,114017,21
AAA,2013J,114999,50
AAA,2013J,116541,36
AAA,2013J,116692,44
AAA,2013J,118983,11
AAA,2013J,123044,51
AAA,2013J,127582,38
AAA,2013J,129955,60
AAA,2013J,132976,8
AAA,2013J,134143,54
AAA,2013J,135335,10
AAA,2013J,135400,23
AAA,2013J,137873,79
AAA,2013J,141355,31
AAA,2013J,141377,7
AAA,2013J,142326,32
AAA,2013J,144801,74
AAA,2013J,145130,20
AAA,2013J,146188,16
AAA,2013J,147756,41
AAA,2013J,147793,9
AAA,2013J,148993,69
AAA,2013J,151358,6
AAA,2013J,155550,28
AAA,2013J,155854,74
AAA,2013J,155984,33
AAA,2013J,157568,32
AAA,2013J,159954,54
AAA,2013J,164259,13
AAA,2013J,167906,42
AAA,2013J,168936,16
AAA,2013J,172112,41
AAA,2013J,172797,17
AAA,2013J,174782,88
AAA,2013J,175392,82
AAA,2013J,175932,56
AAA,2013J,175991,8
AAA,2013J,180753,64
AAA,2013J,181316,20
AAA,2013J,183096,54
AAA,2013J,183947,19
AAA,2013J,184271,65
AAA,2013J,185439,15
AAA,2013J,186149,45
AAA,2013J,187100,92
AAA,2013J,188278,49
AAA,2013J,189879,32
AAA,2013J,192183,74
AAA,2013J,195262,23
AAA,2013J,200860,39
AAA,2013J,202635,33
AAA,2013J,205350,50
AAA,2013J,205719,15
AAA,2013J,227499,73
AAA,2013J,227517,38
AAA,2013J,228082,14
AAA,2013J,228222,17
AAA,2013J,229179,22
AAA,2013J,229361,43
AAA,2013J,231554,42
AAA,2013J,235507,21
AAA,2013J,236284,15
AAA,2013J,238007,63
AAA,2013J,240712,11
AAA,2013J,240884,15
AAA,2013J,241649,64
AAA,2013J,241729,40
AAA,2013J,242793,17
AAA,2013J,246834,28
AAA,2013J,248270,82
AAA,2013J,255548,74
AAA,2013J,256815,37
